season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2
2020,31/10/20,2411,england,Burnley,Chelsea,68.35,84.29,0.21600000000000003,0.5405,0.2435,1.0,1.73,38.9,59.7,0.0,3.0
2020,31/10/20,2411,england,Liverpool,West Ham,87.43,74.43,0.6518,0.1594,0.1888,2.36,1.09,55.8,34.3,2.0,1.0
2020,01/11/20,2411,england,Aston Villa,Southampton,71.23,74.16,0.4048,0.3371,0.2581,1.48,1.33,27.3,22.2,3.0,4.0
2020,01/11/20,2411,england,Newcastle,Everton,64.88,75.99,0.292,0.445,0.2629,1.16,1.5,30.1,37.0,2.0,1.0
2020,01/11/20,2411,england,Man United,Arsenal,84.41,79.73,0.5183,0.2408,0.2409,1.76,1.13,69.2,53.5,0.0,1.0
2020,01/11/20,2411,england,Tottenham,Brighton,80.41,71.01,0.5757,0.1952,0.22899999999999998,1.88,1.0,50.6,24.3,2.0,1.0
2020,02/11/20,2411,england,Fulham,West Brom,60.4,59.62,0.4399,0.2859,0.2742,1.4,1.07,44.3,44.9,2.0,0.0
2020,02/11/20,2411,england,Leeds,Leicester,68.84,79.12,0.2881,0.4602,0.2517,1.23,1.62,16.1,48.4,1.0,4.0
2020,06/11/20,2411,england,Brighton,Burnley,71.04,67.29,0.4592,0.2661,0.2747,1.42,1.01,33.0,45.3,0.0,0.0
2020,06/11/20,2411,england,Southampton,Newcastle,73.42,65.52,0.5183,0.2299,0.2518,1.65,1.01,22.2,25.2,2.0,0.0
2020,07/11/20,2411,england,Everton,Man United,75.24,83.19,0.3139,0.4368,0.2494,1.33,1.61,36.2,51.7,1.0,3.0
2020,07/11/20,2411,england,Crystal Palace,Leeds,66.28,67.48,0.4042,0.3304,0.2654,1.42,1.26,29.6,21.6,4.0,1.0
2020,07/11/20,2411,england,Chelsea,Sheffield United,85.6,67.39,0.6861,0.1105,0.2034,1.99,0.65,59.7,40.3,4.0,1.0
2020,07/11/20,2411,england,West Ham,Fulham,74.36,61.36,0.5519,0.2099,0.2382,1.79,1.01,17.6,45.5,1.0,0.0
2020,08/11/20,2411,england,West Brom,Tottenham,58.99,82.04,0.1702,0.6096,0.2203,0.92,1.95,43.5,58.2,0.0,1.0
2020,08/11/20,2411,england,Leicester,Wolves,80.7,76.13,0.5283,0.2098,0.2619,1.56,0.88,59.8,27.4,1.0,0.0
2020,08/11/20,2411,england,Man City,Liverpool,92.97,88.64,0.5277,0.2537,0.2185,2.06,1.38,100.0,97.7,1.0,1.0
2020,08/11/20,2411,england,Arsenal,Aston Villa,81.07,71.42,0.563,0.204,0.233,1.84,1.01,53.2,24.1,0.0,3.0
